"State","year","seats"
"Tennessee",1970,8
"Texas",1970,24
"Utah",1970,2
"Vermont",1970,1
"Virginia",1970,10
"Washington",1970,7
"West Virginia",1970,4
"Wisconsin",1970,9
"Wyoming",1970,1
"Alabama",1960,8
"Alaska",1960,1
"Arizona",1960,3
"Arkansas",1960,4
"California",1960,38
"Colorado",1960,4
"Connecticut",1960,6
"Delaware",1960,1
"Florida",1960,12
"Georgia",1960,10
"Hawaii",1960,2
"Idaho",1960,2
"Illinois",1960,24
"Indiana",1960,11
"Iowa",1960,7
"Kansas",1960,5
"Kentucky",1960,7
"Louisiana",1960,8
"Maine",1960,2
"Maryland",1960,8
"Massachusetts",1960,12
"Michigan",1960,19
"Minnesota",1960,8
"Mississippi",1960,5
"Missouri",1960,10
"Montana",1960,2
"Nebraska",1960,3
"Nevada",1960,1
"New Hampshire",1960,2
"New Jersey",1960,15
"New Mexico",1960,2
"New York",1960,41
"North Carolina",1960,11
"North Dakota",1960,2
"Ohio",1960,24
"Oklahoma",1960,6
"Oregon",1960,4
"Pennsylvania",1960,27
"Rhode Island",1960,2
"South Carolina",1960,6
"South Dakota",1960,2
"Tennessee",1960,9
"Texas",1960,23
"Utah",1960,2
"Vermont",1960,1
"Virginia",1960,10
"Washington",1960,7
"West Virginia",1960,5
"Wisconsin",1960,10
"Wyoming",1960,1
"Alabama",1950,9
"Alaska",1950,1
"Arizona",1950,2
"Arkansas",1950,6
"California",1950,30
"Colorado",1950,4
"Connecticut",1950,6
"Delaware",1950,1
"Florida",1950,8
"Georgia",1950,10
"Hawaii",1950,1
"Idaho",1950,2
"Illinois",1950,25
"Indiana",1950,11
"Iowa",1950,8
"Kansas",1950,6
"Kentucky",1950,8
"Louisiana",1950,8
"Maine",1950,3
"Maryland",1950,7
"Massachusetts",1950,14
"Michigan",1950,18
"Minnesota",1950,9
"Mississippi",1950,6
"Missouri",1950,11
"Montana",1950,2
"Nebraska",1950,4
"Nevada",1950,1
"New Hampshire",1950,2
"New Jersey",1950,14
"New Mexico",1950,2
"New York",1950,43
"North Carolina",1950,12
"North Dakota",1950,2
"Ohio",1950,23
"Oklahoma",1950,6
"Oregon",1950,4
"Pennsylvania",1950,30
"Rhode Island",1950,2
"South Carolina",1950,6
"South Dakota",1950,2
"Tennessee",1950,9
"Texas",1950,22
"Utah",1950,2
"Vermont",1950,1
"Virginia",1950,10
"Washington",1950,7
"West Virginia",1950,6
"Wisconsin",1950,10
"Wyoming",1950,1
"Alabama",1940,9
"Alaska",1940,NA
"Arizona",1940,2
"Arkansas",1940,7
"California",1940,23
"Colorado",1940,4
"Connecticut",1940,6
"Delaware",1940,1
"Florida",1940,6
"Georgia",1940,10
"Hawaii",1940,NA
"Idaho",1940,2
"Illinois",1940,26
"Indiana",1940,11
"Iowa",1940,8
"Kansas",1940,6
"Kentucky",1940,9
"Louisiana",1940,8
"Maine",1940,3
"Maryland",1940,6
"Massachusetts",1940,14
"Michigan",1940,17
"Minnesota",1940,9
"Mississippi",1940,7
"Missouri",1940,13
"Montana",1940,2
"Nebraska",1940,4
"Nevada",1940,1
"New Hampshire",1940,2
"New Jersey",1940,14
"New Mexico",1940,2
"New York",1940,45
"North Carolina",1940,12
"North Dakota",1940,2
"Ohio",1940,23
"Oklahoma",1940,8
"Oregon",1940,4
"Pennsylvania",1940,33
"Rhode Island",1940,2
"South Carolina",1940,6
"South Dakota",1940,2
"Tennessee",1940,10
"Texas",1940,21
"Utah",1940,2
"Vermont",1940,1
"Virginia",1940,9
"Washington",1940,6
"West Virginia",1940,6
"Wisconsin",1940,10
"Wyoming",1940,1
"Alabama",1930,9
"Alaska",1930,NA
"Arizona",1930,1
"Arkansas",1930,7
"California",1930,20
"Colorado",1930,4
"Connecticut",1930,6
"Delaware",1930,1
"Florida",1930,5
"Georgia",1930,10
"Hawaii",1930,NA
"Idaho",1930,2
"Illinois",1930,27
"Indiana",1930,12
"Iowa",1930,9
"Kansas",1930,7
"Kentucky",1930,9
"Louisiana",1930,8
"Maine",1930,3
"Maryland",1930,6
"Massachusetts",1930,15
"Michigan",1930,17
"Minnesota",1930,9
"Mississippi",1930,7
"Missouri",1930,13
"Montana",1930,2
"Nebraska",1930,5
"Nevada",1930,1
"New Hampshire",1930,2
"New Jersey",1930,14
"New Mexico",1930,1
"New York",1930,45
"North Carolina",1930,11
"North Dakota",1930,2
"Ohio",1930,24
"Oklahoma",1930,9
"Oregon",1930,3
"Pennsylvania",1930,34
"Rhode Island",1930,2
"South Carolina",1930,6
"South Dakota",1930,2
"Tennessee",1930,9
"Texas",1930,21
"Utah",1930,2
"Vermont",1930,1
"Virginia",1930,9
"Washington",1930,6
"West Virginia",1930,6
"Wisconsin",1930,10
"Wyoming",1930,1
"Alabama",1920,10
"Alaska",1920,NA
"Arizona",1920,1
"Arkansas",1920,7
"California",1920,11
"Colorado",1920,4
"Connecticut",1920,5
"Delaware",1920,1
"Florida",1920,4
"Georgia",1920,12
"Hawaii",1920,NA
"Idaho",1920,2
"Illinois",1920,27
"Indiana",1920,13
"Iowa",1920,11
"Kansas",1920,8
"Kentucky",1920,11
"Louisiana",1920,8
"Maine",1920,4
"Maryland",1920,6
"Massachusetts",1920,16
"Michigan",1920,13
"Minnesota",1920,10
"Mississippi",1920,8
"Missouri",1920,16
"Montana",1920,2
"Nebraska",1920,6
"Nevada",1920,1
"New Hampshire",1920,2
"New Jersey",1920,12
"New Mexico",1920,1
"New York",1920,43
"North Carolina",1920,10
"North Dakota",1920,3
"Ohio",1920,22
"Oklahoma",1920,8
"Oregon",1920,3
"Pennsylvania",1920,36
"Rhode Island",1920,3
"South Carolina",1920,7
"South Dakota",1920,3
"Tennessee",1920,10
"Texas",1920,18
"Utah",1920,2
"Vermont",1920,2
"Virginia",1920,10
"Washington",1920,5
"West Virginia",1920,6
"Wisconsin",1920,11
"Wyoming",1920,1
"Alabama",1910,10
"Alaska",1910,NA
"Arizona",1910,1
"Arkansas",1910,7
"California",1910,11
"Colorado",1910,4
"Connecticut",1910,5
"Delaware",1910,1
"Florida",1910,4
"Georgia",1910,12
"Hawaii",1910,NA
"Idaho",1910,2
"Illinois",1910,27
"Indiana",1910,13
"Iowa",1910,11
"Kansas",1910,8
"Kentucky",1910,11
"Louisiana",1910,8
"Maine",1910,4
"Maryland",1910,6
"Massachusetts",1910,16
"Michigan",1910,13
"Minnesota",1910,10
"Mississippi",1910,8
"Missouri",1910,16
"Montana",1910,2
"Nebraska",1910,6
"Nevada",1910,1
"New Hampshire",1910,2
"New Jersey",1910,12
"New Mexico",1910,1
"New York",1910,43
"North Carolina",1910,10
"North Dakota",1910,3
"Ohio",1910,22
"Oklahoma",1910,8
"Oregon",1910,3
"Pennsylvania",1910,36
"Rhode Island",1910,3
"South Carolina",1910,7
"South Dakota",1910,3
"Tennessee",1910,10
"Texas",1910,18
"Utah",1910,2
"Vermont",1910,2
"Virginia",1910,10
"Washington",1910,5
"West Virginia",1910,6
"Wisconsin",1910,11
"Wyoming",1910,1
